,var,x-value,ale,sp
1,lat,32.672858,0.138663636,glandon
2,lat,37.019733,0.138663636,glandon
3,lat,37.848325,0.139141366,glandon
4,lat,37.973647,0.130224441,glandon
5,lat,38.875823,0.13353532,glandon
6,lat,38.960104,0.139479467,glandon
7,lat,39.361655,0.110729256,glandon
8,lat,39.432627,0.045307786,glandon
9,lat,39.663598,0.040247013,glandon
10,lat,40.027102,0.008867473,glandon
11,lat,41.32386,-0.028456936,glandon
12,lat,43.282711,-0.036452149,glandon
13,lat,48.9188,-0.082296942,glandon
14,lat,50.2,-0.172841608,glandon
15,lat,51.433333,-0.160509442,glandon
16,lat,51.463736,-0.214153003,glandon
17,lat,53.23,-0.214578957,glandon
18,lat,55.317152,-0.214732104,glandon
19,lat,58.865008,-0.214732104,glandon
20,lon,-131.1084,0.244028488,glandon
21,lon,-122.10639,0.244028488,glandon
22,lon,-119.55698,0.242305765,glandon
23,lon,-119.27498,0.237129776,glandon
24,lon,-116.18333,0.240375118,glandon
25,lon,-114.51667,0.189588646,glandon
26,lon,-110.5313,0.178497835,glandon
27,lon,-108.14287,0.098642205,glandon
28,lon,-106.56392,0.111290035,glandon
29,lon,-106.32613,0.146136194,glandon
30,lon,-106.18669,0.141256579,glandon
31,lon,-106.06252,0.175704152,glandon
32,lon,-105.87918,0.156109705,glandon
33,lon,-105.73584,0.08885826,glandon
34,lon,-105.55615,0.086455339,glandon
35,lon,-105.49278,-0.007080081,glandon
36,lon,-101.03333,-0.793719245,glandon
37,lon,-63.35266,-0.919689568,glandon
38,lon,-57.067094,-0.919869905,glandon
39,lon,-56.3611,-0.919869905,glandon
40,Temp,-5.1,-0.027973575,glandon
41,Temp,-3,-0.027973575,glandon
42,Temp,-1.8,-0.027778438,glandon
43,Temp,-1.7,-0.008069042,glandon
44,Temp,-1.5,-0.008651391,glandon
45,Temp,-1.3,0.045499795,glandon
46,Temp,-0.3,0.030341176,glandon
47,Temp,0.3,0.011822224,glandon
48,Temp,0.5,0.011059659,glandon
49,Temp,0.7,0.011406912,glandon
50,Temp,1.4,-0.017490956,glandon
51,Temp,1.5,-0.013052345,glandon
52,Temp,1.9,-0.016256146,glandon
53,Temp,2.8,-0.015503995,glandon
54,Temp,3.3,-0.034981803,glandon
55,Temp,3.8,-0.013200077,glandon
56,Temp,4.2,-0.000133527,glandon
57,Temp,15,0.041846141,glandon
58,Temp,16.9,0.041846141,glandon
59,Prec,257,0.11808218,glandon
60,Prec,356,0.11808218,glandon
61,Prec,429,0.103284133,glandon
62,Prec,449,0.107778418,glandon
63,Prec,464,0.107599987,glandon
64,Prec,480,0.064845862,glandon
65,Prec,507,0.05784722,glandon
66,Prec,538,0.057968741,glandon
67,Prec,568,0.065458064,glandon
68,Prec,593,0.064667029,glandon
69,Prec,614,0.096209392,glandon
70,Prec,637,0.089545803,glandon
71,Prec,654,-0.061223987,glandon
72,Prec,731,-0.079091125,glandon
73,Prec,755,-0.150402327,glandon
74,Prec,783,-0.168157955,glandon
75,Prec,810,-0.165795839,glandon
76,Prec,1091,-0.168991674,glandon
77,Prec,1160,-0.17121571,glandon
78,Prec,1447,-0.17121571,glandon
79,elevation,14,-0.282021058,glandon
80,elevation,152,-0.282021058,glandon
81,elevation,185,-0.280528302,glandon
82,elevation,451,-0.279179192,glandon
83,elevation,645,-0.071728351,glandon
84,elevation,1050,0.014345456,glandon
85,elevation,1239,0.020196425,glandon
86,elevation,1779,0.045977711,glandon
87,elevation,1948,0.028338973,glandon
88,elevation,2305,0.017436796,glandon
89,elevation,2368,0.038890351,glandon
90,elevation,2620,0.118006775,glandon
91,elevation,2685,0.114096942,glandon
92,elevation,2808,0.110284694,glandon
93,elevation,3048,0.116945789,glandon
94,elevation,3070,0.099067993,glandon
95,elevation,3247,0.096875449,glandon
96,elevation,3483,0.098384838,glandon
97,elevation,3563,0.099694626,glandon
98,elevation,3655,0.079930451,glandon
99,elevation,4402,0.079930451,glandon
1,lat,29.47461,0.024722177,mormo
2,lat,32.81213,0.02431258,mormo
3,lat,33.9533,-0.069879219,mormo
4,lat,34.05223,-0.101629113,mormo
5,lat,34.18727,0.022585834,mormo
6,lat,34.32726,0.029579502,mormo
7,lat,34.37049,0.005060666,mormo
8,lat,34.77897,-0.0606492,mormo
9,lat,34.86601,-0.060405608,mormo
10,lat,34.95921,-0.060072208,mormo
11,lat,35.31023,-0.093605458,mormo
12,lat,36.67359,0.073654931,mormo
13,lat,37.23248,0.061165902,mormo
